E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     58.00    1.18    0.66    5.14    0.01
  2     200        510.65   3821.80   60.07   64.57   56.16    0.60
  5     400        178.86   2353.38   69.49   71.64   67.47    0.69
  8     600        190.32   1711.88   68.68   76.47   62.33    0.69
 13     800        152.26   1067.70   68.05   75.95   61.64    0.68
 18    1000        188.11    972.09   70.33   75.59   65.75    0.70
 25    1200        135.85    508.57   71.26   71.63   70.89    0.71
 33    1400        157.36    401.18   71.81   75.47   68.49    0.72
 42    1600         90.88    190.52   72.92   77.10   69.18    0.73
 54    1800        187.75    211.43   70.90   73.09   68.84    0.71
 69    2000        177.44    237.20   71.30   76.47   66.78    0.71
 87    2200        147.10    166.53   71.48   71.72   71.23    0.71
108    2400        190.07    174.63   68.55   70.80   66.44    0.69
131    2600        133.86    104.28   69.54   69.90   69.18    0.70
153    2800        125.90     82.19   66.30   70.38   62.67    0.66
175    3000        195.89    122.71   69.36   74.70   64.73    0.69
197    3200        176.07    123.44   66.42   71.09   62.33    0.66
